
1.1	7.5	480.34499	1.3694
1.1	7.55263	480.33216	1.38225
1.1	7.60526	480.31948	1.38057
1.1	7.65789	480.30694	1.37907
1.1	7.71053	480.29454	1.37809
1.1	7.76316	480.28227	1.37737
1.1	7.81579	480.27013	1.37684
1.1	7.86842	480.25813	1.37642
1.1	7.92105	480.24625	1.3761
1.1	7.97368	480.23449	1.37584
1.1	8.02632	480.22286	1.37563
1.1	8.07895	480.21135	1.37547
1.1	8.13158	480.19995	1.37534
1.1	8.18421	480.18868	1.37524
1.1	8.23684	480.17751	1.37516
1.1	8.28947	480.16646	1.37509
1.1	8.34211	480.15552	1.37504
1.1	8.39474	480.14468	1.37501
1.1	8.44737	480.13395	1.37498
1.1	8.5	480.12333	1.37496
1.12965	7.5	477.22978	1.824
1.12965	7.55263	477.21626	1.83619
1.12965	7.60526	477.20289	1.83104
1.12965	7.65789	477.18966	1.828
1.12965	7.71053	477.17656	1.82588
1.12965	7.76316	477.1636	1.82423
1.12965	7.81579	477.15077	1.82288
1.12965	7.86842	477.13808	1.82172
1.12965	7.92105	477.1255	1.82072
1.12965	7.97368	477.11306	1.81982
1.12965	8.02632	477.10073	1.81902
1.12965	8.07895	477.08853	1.81828
1.12965	8.13158	477.07645	1.81761
1.12965	8.18421	477.06448	1.81698
1.12965	8.23684	477.05262	1.81639
1.12965	8.28947	477.04088	1.81584
1.12965	8.34211	477.02925	1.81532
1.12965	8.39474	477.01772	1.81482
1.12965	8.44737	477.0063	1.81435
1.12965	8.5	476.99499	1.81389
1.1593	7.5	474.20163	2.26446
1.1593	7.55263	474.18742	2.27587
1.1593	7.60526	474.17335	2.26725
1.1593	7.65789	474.15942	2.26267
1.1593	7.71053	474.14563	2.25944
1.1593	7.76316	474.13198	2.25688
1.1593	7.81579	474.11846	2.25472
1.1593	7.86842	474.10506	2.25284
1.1593	7.92105	474.0918	2.25116
1.1593	7.97368	474.07866	2.24964
1.1593	8.02632	474.06564	2.24825
1.1593	8.07895	474.05275	2.24696
1.1593	8.13158	474.03997	2.24575
1.1593	8.18421	474.02731	2.24461
1.1593	8.23684	474.01476	2.24353
1.1593	8.28947	474.00233	2.2425
1.1593	8.34211	473.99	2.24151
1.1593	8.39474	473.97779	2.24057
1.1593	8.44737	473.96568	2.23965
1.1593	8.5	473.95368	2.23877
1.18894	7.5	471.25588	2.69152
